"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12393","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 16:48:16 UTC 2025","passed","Wed Dec 10 16:48:29 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","14772","Check that books can be filtered by price","chromium","Wed Dec 10 16:48:29 UTC 2025","passed","Wed Dec 10 16:48:44 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","11151","Check that search tips are displayed during a search","chromium","Wed Dec 10 16:48:05 UTC 2025","passed","Wed Dec 10 16:48:16 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","8900","Verify that every section contains books","chromium","Wed Dec 10 16:47:55 UTC 2025","passed","Wed Dec 10 16:48:04 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
