"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16797","Check that books can be filtered by price","chromium","Wed Dec 10 19:25:31 UTC 2025","failed","Wed Dec 10 19:25:48 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","9776","Verify that every section contains books","chromium","Wed Dec 10 19:24:37 UTC 2025","passed","Wed Dec 10 19:24:47 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","13061","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 19:24:59 UTC 2025","passed","Wed Dec 10 19:25:12 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","11208","Check that search tips are displayed during a search","chromium","Wed Dec 10 19:24:48 UTC 2025","passed","Wed Dec 10 19:24:59 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
