"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14657","Check that books can be filtered by price","chromium","Wed Dec 10 18:18:31 UTC 2025","passed","Wed Dec 10 18:18:46 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","12104","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 18:18:19 UTC 2025","passed","Wed Dec 10 18:18:31 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","10984","Check that search tips are displayed during a search","chromium","Wed Dec 10 18:18:08 UTC 2025","passed","Wed Dec 10 18:18:19 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","8628","Verify that every section contains books","chromium","Wed Dec 10 18:17:59 UTC 2025","passed","Wed Dec 10 18:18:08 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
