"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10199","Check that search tips are displayed during a search","chromium","Wed Dec 10 16:31:12 UTC 2025","passed","Wed Dec 10 16:31:22 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","9004","Verify that every section contains books","chromium","Wed Dec 10 16:31:02 UTC 2025","passed","Wed Dec 10 16:31:11 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","14846","Check that books can be filtered by price","chromium","Wed Dec 10 16:31:34 UTC 2025","passed","Wed Dec 10 16:31:49 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","11851","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 16:31:22 UTC 2025","passed","Wed Dec 10 16:31:34 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
