"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10570","Check that search tips are displayed during a search","chromium","Fri Dec 12 17:10:40 UTC 2025","passed","Fri Dec 12 17:10:50 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","12995","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Fri Dec 12 17:10:50 UTC 2025","passed","Fri Dec 12 17:11:03 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","15386","Check that books can be filtered by price","chromium","Fri Dec 12 17:11:03 UTC 2025","passed","Fri Dec 12 17:11:19 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","9753","Verify that every section contains books","chromium","Fri Dec 12 17:10:30 UTC 2025","passed","Fri Dec 12 17:10:39 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
