"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1473","Go to taxes page","chromium","2025-12-22","passed","2025-12-22","For help tests","fh.spec.ts","",""
"","4493","Verify that taxes are empty","chromium","2025-12-22","passed","2025-12-22","For help tests","fh.spec.ts","",""
