"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12284","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Mon Dec 08 18:25:01 UTC 2025","passed","Mon Dec 08 18:25:14 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","8927","Verify that every section contains books","chromium","Mon Dec 08 18:24:41 UTC 2025","passed","Mon Dec 08 18:24:50 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","15031","Check that books can be filtered by price","chromium","Mon Dec 08 18:25:14 UTC 2025","passed","Mon Dec 08 18:25:29 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","10380","Check that search tips are displayed during a search","chromium","Mon Dec 08 18:24:51 UTC 2025","passed","Mon Dec 08 18:25:01 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
