"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11488","Check that search tips are displayed during a search","chromium","Wed Dec 10 19:52:50 UTC 2025","passed","Wed Dec 10 19:53:02 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","13661","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 19:53:02 UTC 2025","passed","Wed Dec 10 19:53:15 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","18815","Check that books can be filtered by price","chromium","Wed Dec 10 19:53:35 UTC 2025","failed","Wed Dec 10 19:53:53 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","10813","Verify that every section contains books","chromium","Wed Dec 10 19:52:38 UTC 2025","passed","Wed Dec 10 19:52:49 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
