"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16058","Check that books can be filtered by price","chromium","Wed Dec 10 19:20:35 UTC 2025","passed","Wed Dec 10 19:20:51 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","10137","Verify that every section contains books","chromium","Wed Dec 10 19:19:55 UTC 2025","passed","Wed Dec 10 19:20:05 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","11620","Check that search tips are displayed during a search","chromium","Wed Dec 10 19:20:10 UTC 2025","passed","Wed Dec 10 19:20:22 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","13038","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Wed Dec 10 19:20:22 UTC 2025","passed","Wed Dec 10 19:20:35 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
