"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12967","Check selecting ""Yakaboo Collections"" for paper books from book menu","chromium","Fri Dec 12 17:21:19 UTC 2025","passed","Fri Dec 12 17:21:32 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","9998","Verify that every section contains books","chromium","Fri Dec 12 17:20:57 UTC 2025","passed","Fri Dec 12 17:21:07 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","14932","Check that books can be filtered by price","chromium","Fri Dec 12 17:21:32 UTC 2025","passed","Fri Dec 12 17:21:47 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
"","11276","Check that search tips are displayed during a search","chromium","Fri Dec 12 17:21:08 UTC 2025","passed","Fri Dec 12 17:21:19 UTC 2025","Yakaboo tests","yakaboo.spec.ts","",""
